ID,Neighborhood,Bedrooms,Bathrooms,Size_sqft,Floor,Building_Type,Furnishing,View,Condition,Parking_Spaces,Price_AED,Price_per_sqft_AED,Annual_Rent_AED,Service_Charge_AED,Listing_Date,Days_on_Market
1539,Dubai Creek Harbour,3 BR,3,1629,38,Serviced Apartment,Semi-Furnished,Pool View,New,2,3226000,1980,224000,37982,2023-06-23,153
1540,Jumeirah Beach Residence (JBR),4 BR,4,2743,7,Mid-Rise,Unfurnished,Street View,Good,0,5373000,1959,329000,40761,2024-12-12,122
1541,Damac Hills,2 BR,2,961,3,Serviced Apartment,Semi-Furnished,Canal View,Excellent,2,1365000,1420,107000,21000,2022-07-17,57
1542,Al Barsha,2 BR,2,1217,37,Villa Compound,Semi-Furnished,Street View,Average,2,1139000,936,76000,17631,2022-04-23,49
1543,Bur Dubai,4 BR,4,2311,36,Serviced Apartment,Furnished,Burj Khalifa View,Average,2,2317000,1003,142000,51544,2024-08-25,118
1544,International City,2 BR,2,975,12,Low-Rise,Furnished,Burj Khalifa View,New,1,741000,760,58000,16928,2022-03-21,178
1545,Al Jaddaf,4 BR,4,3249,49,Mid-Rise,Furnished,Garden View,Excellent,0,4306000,1325,335000,43713,2022-09-25,2
1546,Bur Dubai,4 BR,4,3457,49,High-Rise,Furnished,City View,Excellent,1,3720000,1076,218000,70075,2024-11-07,113
1547,Damac Hills,5+ BR,5,3695,34,Villa Compound,Unfurnished,City View,Good,0,4775000,1292,328000,52710,2022-09-26,38
1548,Dubai Creek Harbour,2 BR,2,1361,14,Villa Compound,Semi-Furnished,Sea View,Good,1,2552000,1875,165000,25011,2023-05-28,14
1549,Palm Jumeirah,4 BR,4,3295,36,Mid-Rise,Unfurnished,Pool View,Good,1,9830000,2983,700000,79012,2022-05-07,47
1550,Dubai South,Studio,1,423,44,Serviced Apartment,Unfurnished,Sea View,New,2,412000,974,28000,7823,2025-03-11,102
1551,Damac Hills,5+ BR,6,4738,16,Low-Rise,Unfurnished,Burj Khalifa View,Excellent,1,6980000,1473,400000,117856,2022-11-29,129
1552,Bur Dubai,2 BR,2,1146,45,Serviced Apartment,Semi-Furnished,City View,Good,1,1104000,963,62000,15204,2024-11-12,101
1553,Al Quoz,1 BR,1,679,5,High-Rise,Semi-Furnished,Pool View,Excellent,0,551000,811,39000,11016,2023-08-02,3
1554,Al Jaddaf,3 BR,2,1427,60,Mid-Rise,Furnished,Street View,Good,1,1798000,1260,139000,28626,2022-07-31,176
1555,International City,5+ BR,5,5780,49,Mid-Rise,Unfurnished,Pool View,New,0,3591000,621,294000,77747,2023-04-01,125
1556,Deira,3 BR,3,1977,9,Serviced Apartment,Furnished,City View,Good,0,1665000,842,115000,45381,2022-11-03,23
1557,DIFC,4 BR,4,3309,41,High-Rise,Unfurnished,Canal View,Average,2,9327000,2819,635000,81205,2023-01-13,8
1558,Dubai Marina,5+ BR,4,3881,17,Mid-Rise,Unfurnished,Garden View,Good,0,8013000,2065,625000,67465,2024-08-20,75
1559,Al Nahda,5+ BR,4,3502,30,Villa Compound,Unfurnished,Garden View,Average,2,2610000,745,209000,68790,2024-08-07,10
1560,Remraam,1 BR,1,677,26,High-Rise,Unfurnished,Burj Khalifa View,New,0,682000,1007,50000,13211,2022-09-29,44
1561,Arjan,Studio,1,567,34,Villa Compound,Semi-Furnished,City View,Good,1,622000,1097,53000,10313,2024-01-30,47
1562,Dubailand,3 BR,2,1525,20,High-Rise,Semi-Furnished,Park View,Excellent,0,1334000,875,104000,33545,2024-05-16,151
1563,Business Bay,2 BR,2,1127,37,Villa Compound,Semi-Furnished,Pool View,Good,0,2106000,1869,158000,14956,2022-09-11,42
1564,Oud Metha,Studio,1,646,14,Mid-Rise,Furnished,Sea View,Average,1,711000,1101,52000,11290,2024-10-19,122
1565,Deira,Studio,1,491,48,Villa Compound,Furnished,Pool View,Average,0,387000,788,31000,6059,2024-11-20,149
1566,Dubailand,1 BR,1,696,16,High-Rise,Furnished,Sea View,Good,1,746000,1072,63000,16973,2022-07-23,93
1567,Mirdif,2 BR,2,1189,12,Villa Compound,Semi-Furnished,Canal View,Excellent,2,1148000,966,80000,15488,2022-09-18,137
1568,Arjan,1 BR,1,604,19,Villa Compound,Semi-Furnished,Sea View,Excellent,0,816000,1351,56000,11442,2024-04-15,74
1569,Palm Jumeirah,Studio,1,606,32,Mid-Rise,Semi-Furnished,Park View,Good,2,2103000,3470,126000,8174,2023-12-13,129
1570,Jumeirah Beach Residence (JBR),4 BR,4,3342,53,Low-Rise,Unfurnished,Canal View,Good,0,8985000,2689,726000,82022,2025-03-29,102
1571,Dubai South,4 BR,4,3262,44,High-Rise,Unfurnished,City View,New,2,3070000,941,195000,58461,2024-10-14,5
1572,Oud Metha,3 BR,2,1639,40,High-Rise,Semi-Furnished,Pool View,Good,0,1561000,952,119000,40847,2023-01-22,101
1573,Remraam,3 BR,2,2183,22,Low-Rise,Furnished,Pool View,New,1,1957000,896,117000,40200,2022-11-14,180
1574,Downtown Dubai,4 BR,4,2495,57,High-Rise,Unfurnished,Burj Khalifa View,New,2,8589000,3442,528000,44315,2024-01-30,109
1575,Downtown Dubai,4 BR,3,2178,29,Mid-Rise,Unfurnished,Canal View,New,2,6428000,2951,518000,48182,2025-01-28,142
1576,Dubailand,4 BR,4,2189,13,High-Rise,Furnished,Pool View,Good,1,1900000,868,128000,26964,2022-03-13,15
1577,Downtown Dubai,Studio,1,579,24,Villa Compound,Unfurnished,Sea View,Good,1,1494000,2580,120000,11968,2023-01-14,111
1578,Dubai Silicon Oasis,Studio,1,455,33,Villa Compound,Semi-Furnished,Sea View,Good,1,514000,1130,32000,6926,2023-05-22,42
1579,Bur Dubai,1 BR,1,661,45,Low-Rise,Furnished,Garden View,Good,1,614000,929,36000,13095,2024-11-20,180
1580,Damac Hills,5+ BR,4,3229,1,High-Rise,Unfurnished,Street View,Good,1,3739000,1158,293000,47126,2022-10-11,132
1581,Oud Metha,4 BR,4,2434,49,Low-Rise,Unfurnished,Park View,New,0,2780000,1142,205000,41882,2025-03-13,105
1582,Dubai South,2 BR,2,1067,59,Serviced Apartment,Furnished,Canal View,New,0,1187000,1112,86000,21208,2024-09-13,3
1583,Business Bay,5+ BR,4,4177,12,High-Rise,Furnished,Sea View,New,0,11124000,2663,866000,50992,2022-04-28,163
1584,Damac Hills,3 BR,2,1468,31,Mid-Rise,Semi-Furnished,Canal View,Good,2,2152000,1466,152000,21188,2024-01-08,9
1585,Jumeirah Beach Residence (JBR),3 BR,3,2193,33,Low-Rise,Semi-Furnished,Garden View,New,2,5790000,2640,471000,45097,2023-02-01,87
1586,Dubailand,1 BR,1,675,22,High-Rise,Furnished,Burj Khalifa View,Average,1,752000,1114,53000,15870,2023-02-11,74
1587,Dubailand,2 BR,2,1014,44,Serviced Apartment,Furnished,Pool View,New,1,1106000,1091,70000,13469,2023-06-06,86
1588,Palm Jumeirah,4 BR,3,2329,37,High-Rise,Semi-Furnished,City View,Average,0,8081000,3470,657000,53685,2024-06-25,22
1589,Mirdif,4 BR,3,2814,16,Low-Rise,Semi-Furnished,Sea View,New,1,3450000,1226,205000,55686,2022-08-30,80
1590,Al Barsha,5+ BR,6,4325,36,Villa Compound,Furnished,Sea View,New,2,7441000,1720,511000,80255,2022-12-13,110
1591,Jumeirah Village Circle (JVC),4 BR,3,3216,11,High-Rise,Semi-Furnished,Street View,Excellent,1,3742000,1164,307000,65993,2022-12-14,5
1592,Oud Metha,2 BR,2,1129,17,Low-Rise,Unfurnished,Canal View,Excellent,0,1446000,1281,94000,16518,2024-07-11,134
1593,Al Nahda,Studio,1,649,10,Mid-Rise,Unfurnished,Park View,Excellent,0,517000,797,40000,15655,2023-09-09,70
1594,Jumeirah Village Circle (JVC),4 BR,4,2379,8,Serviced Apartment,Furnished,Street View,New,2,2816000,1184,200000,33037,2025-02-23,62
1595,Dubai Hills Estate,2 BR,2,1490,20,Low-Rise,Furnished,Pool View,Excellent,1,3232000,2169,182000,19283,2022-03-21,97
1596,Remraam,1 BR,1,686,30,Low-Rise,Semi-Furnished,City View,Excellent,1,611000,891,39000,15666,2022-12-21,91
1597,Arjan,4 BR,4,3314,41,Serviced Apartment,Semi-Furnished,Street View,Good,0,3610000,1089,297000,66243,2023-03-19,23
1598,Damac Hills,3 BR,2,2153,27,High-Rise,Unfurnished,Park View,Good,2,2451000,1138,179000,34984,2024-01-05,149
1599,Dubai Hills Estate,1 BR,1,688,8,Mid-Rise,Unfurnished,Garden View,Excellent,1,1230000,1788,82000,10702,2023-10-21,171
1600,Dubai Creek Harbour,1 BR,1,628,23,High-Rise,Furnished,Street View,Excellent,2,1178000,1876,89000,12970,2024-11-14,25
1601,Damac Hills,5+ BR,5,5572,49,High-Rise,Semi-Furnished,Canal View,New,0,9732000,1747,779000,79724,2024-01-01,80
1602,Dubai Hills Estate,2 BR,2,1444,5,Low-Rise,Unfurnished,Park View,Excellent,0,2289000,1585,141000,30186,2023-03-10,32
1603,Dubai Silicon Oasis,5+ BR,4,3900,30,Mid-Rise,Furnished,City View,New,2,5158000,1323,355000,89264,2022-05-27,110
1604,Bur Dubai,4 BR,3,3463,23,Villa Compound,Furnished,Pool View,New,1,3691000,1066,311000,73582,2022-02-11,76
1605,International City,5+ BR,6,3475,20,Mid-Rise,Unfurnished,City View,New,0,2203000,634,150000,64715,2025-04-22,133
1606,Oud Metha,3 BR,3,1966,9,Mid-Rise,Semi-Furnished,City View,Excellent,2,1952000,993,157000,30205,2023-09-08,98
1607,Palm Jumeirah,5+ BR,5,4481,53,Villa Compound,Unfurnished,Park View,New,1,16043000,3580,1271000,74616,2024-06-10,9
1608,Arjan,2 BR,2,1278,35,Villa Compound,Semi-Furnished,Garden View,Good,2,1367000,1070,111000,23216,2022-02-17,180
1609,Jumeirah Lakes Towers (JLT),3 BR,2,1843,58,Serviced Apartment,Furnished,Burj Khalifa View,New,0,4081000,2214,302000,43587,2022-10-31,55
1610,Downtown Dubai,Studio,1,396,25,Villa Compound,Semi-Furnished,Burj Khalifa View,Good,1,1167000,2947,72000,6849,2024-08-11,48
1611,Dubai Silicon Oasis,1 BR,1,925,39,High-Rise,Semi-Furnished,City View,Good,2,1066000,1152,86000,18802,2022-01-04,60
1612,Business Bay,3 BR,2,1506,50,Low-Rise,Unfurnished,Canal View,Average,1,3052000,2027,228000,21738,2025-04-27,81
1613,Jumeirah Beach Residence (JBR),1 BR,1,736,51,Serviced Apartment,Unfurnished,Park View,Average,2,1440000,1957,109000,12489,2022-08-25,78
1614,Jumeirah Lakes Towers (JLT),1 BR,1,691,58,Villa Compound,Unfurnished,Park View,New,1,1209000,1750,83000,11329,2025-04-11,119
1615,Mirdif,Studio,1,605,34,Villa Compound,Furnished,Park View,Excellent,1,745000,1231,62000,7634,2023-01-19,173
1616,Dubai Silicon Oasis,Studio,1,485,37,Villa Compound,Unfurnished,Sea View,New,1,716000,1476,59000,8333,2022-06-14,102
1617,Dubai Creek Harbour,5+ BR,5,4798,45,High-Rise,Semi-Furnished,Pool View,Excellent,1,9072000,1891,709000,92680,2023-02-02,8
1618,Business Bay,5+ BR,6,3547,27,Villa Compound,Unfurnished,Burj Khalifa View,Good,2,8182000,2307,496000,78079,2025-04-25,55
1619,Dubailand,3 BR,3,1738,58,Mid-Rise,Furnished,Pool View,Average,2,1476000,849,115000,27254,2024-11-26,126
1620,Dubai Hills Estate,3 BR,3,1768,38,Villa Compound,Furnished,Park View,New,2,4663000,2637,344000,25784,2025-04-07,53
1621,Remraam,2 BR,2,1194,46,Villa Compound,Semi-Furnished,Pool View,New,0,1129000,946,67000,17101,2023-12-12,78
1622,Damac Hills,5+ BR,4,4541,37,Serviced Apartment,Semi-Furnished,City View,Excellent,2,6467000,1424,499000,106141,2022-05-04,9
1623,Jumeirah Village Circle (JVC),2 BR,2,1149,58,High-Rise,Unfurnished,Canal View,New,1,1965000,1710,146000,21391,2022-10-14,75
1624,Arjan,5+ BR,6,5891,15,Villa Compound,Semi-Furnished,Street View,Good,1,6108000,1037,357000,129312,2022-08-30,81
1625,Jumeirah Village Circle (JVC),2 BR,2,1499,26,Low-Rise,Furnished,Street View,Good,1,1938000,1293,117000,35631,2023-11-23,44
1626,Damac Hills,4 BR,4,3025,18,Serviced Apartment,Furnished,Canal View,Average,1,4443000,1469,356000,51607,2023-02-20,87
1627,Arjan,2 BR,2,997,20,Low-Rise,Semi-Furnished,Pool View,Excellent,0,1130000,1133,69000,19588,2022-10-17,171
1628,Dubai Silicon Oasis,3 BR,2,1455,6,Villa Compound,Semi-Furnished,Canal View,Good,0,1461000,1004,121000,24161,2022-03-18,32
1629,Bur Dubai,Studio,1,571,12,Mid-Rise,Unfurnished,Sea View,Excellent,0,584000,1023,43000,11479,2024-09-08,123
1630,Dubai South,Studio,1,481,18,High-Rise,Semi-Furnished,Park View,Excellent,0,374000,778,27000,8179,2022-05-02,107
1631,Al Nahda,3 BR,2,1721,17,Villa Compound,Unfurnished,Canal View,Excellent,1,1700000,988,109000,42099,2023-04-20,27
1632,Al Nahda,2 BR,2,1158,50,Serviced Apartment,Unfurnished,Burj Khalifa View,New,2,1344000,1161,93000,28421,2023-09-11,178
1633,Al Barsha,Studio,1,532,39,Villa Compound,Furnished,City View,Average,0,605000,1137,47000,9239,2022-01-16,104
1634,Jumeirah Village Circle (JVC),5+ BR,5,3188,34,Low-Rise,Furnished,City View,New,1,5078000,1593,384000,75241,2023-08-18,89
1635,Al Barsha,4 BR,3,3256,7,High-Rise,Furnished,Pool View,Good,1,3501000,1075,230000,75911,2022-10-13,9
1636,Dubai Marina,2 BR,2,1013,36,Low-Rise,Furnished,City View,Excellent,0,2755000,2720,179000,15063,2023-02-01,66
1637,Bur Dubai,1 BR,1,698,3,Villa Compound,Semi-Furnished,City View,Excellent,2,625000,895,40000,12996,2024-02-04,66
1638,Oud Metha,1 BR,1,663,18,Serviced Apartment,Furnished,Burj Khalifa View,Excellent,2,895000,1350,56000,15658,2022-12-08,105
1639,Oud Metha,Studio,1,650,59,Serviced Apartment,Furnished,Garden View,Average,0,651000,1002,54000,8342,2022-11-08,144
1640,Bur Dubai,3 BR,2,1756,60,Serviced Apartment,Unfurnished,Pool View,Excellent,2,1608000,916,114000,27231,2024-09-01,94
1641,Dubailand,Studio,1,589,16,Serviced Apartment,Semi-Furnished,Burj Khalifa View,Good,2,575000,976,46000,13097,2023-11-12,175
1642,Downtown Dubai,5+ BR,6,5231,44,Low-Rise,Unfurnished,Canal View,Excellent,2,16217000,3100,962000,90932,2025-03-16,10
1643,Al Jaddaf,4 BR,4,2531,1,Villa Compound,Semi-Furnished,City View,New,1,3459000,1367,233000,45208,2024-02-05,131
1644,Jumeirah Lakes Towers (JLT),1 BR,1,768,31,High-Rise,Unfurnished,City View,Excellent,0,1294000,1685,93000,11360,2024-07-30,11
1645,Business Bay,1 BR,1,931,17,Serviced Apartment,Unfurnished,Pool View,New,2,2053000,2205,170000,18305,2024-03-23,135
1646,Business Bay,3 BR,2,1468,10,Serviced Apartment,Furnished,Canal View,Good,1,3480000,2371,289000,19902,2022-01-12,99
1647,Al Jaddaf,2 BR,2,1373,49,Mid-Rise,Furnished,Sea View,Average,1,1794000,1307,133000,29846,2024-12-10,56
1648,Al Nahda,3 BR,3,2096,13,Villa Compound,Semi-Furnished,Garden View,Excellent,0,1771000,845,145000,28454,2022-12-06,7
1649,Palm Jumeirah,5+ BR,4,4713,25,Villa Compound,Furnished,Sea View,New,1,22609000,4797,1836000,72297,2023-04-02,136
1650,Downtown Dubai,3 BR,3,1608,55,Serviced Apartment,Unfurnished,Garden View,Average,1,3324000,2067,216000,20665,2022-04-11,6
1651,Jumeirah Village Circle (JVC),Studio,1,460,57,Low-Rise,Unfurnished,Park View,Excellent,0,547000,1189,44000,8993,2023-05-29,171
1652,Deira,2 BR,2,1473,34,Low-Rise,Furnished,Pool View,Excellent,1,1281000,870,77000,36104,2025-02-23,67
1653,Deira,1 BR,1,805,5,Low-Rise,Semi-Furnished,Burj Khalifa View,Good,0,640000,795,46000,18751,2022-01-09,97
1654,Jumeirah Village Circle (JVC),Studio,1,495,14,Villa Compound,Unfurnished,Garden View,Average,0,468000,945,34000,6070,2023-06-01,83
1655,Jumeirah Village Circle (JVC),4 BR,3,3004,37,Mid-Rise,Semi-Furnished,Garden View,Excellent,2,3719000,1238,303000,48048,2023-04-25,110
1656,Al Barsha,2 BR,2,1107,26,High-Rise,Furnished,Park View,Good,0,1196000,1080,85000,23236,2023-05-20,33
1657,Dubai Creek Harbour,Studio,1,522,39,High-Rise,Unfurnished,Park View,New,1,1040000,1992,79000,11690,2024-03-27,69
1658,Oud Metha,4 BR,3,2310,7,Serviced Apartment,Unfurnished,Garden View,New,0,2504000,1084,175000,55386,2025-03-21,109
1659,Remraam,3 BR,2,2125,45,Low-Rise,Furnished,Park View,New,0,2375000,1118,190000,52967,2023-12-07,100
1660,Downtown Dubai,Studio,1,507,46,Mid-Rise,Semi-Furnished,Pool View,Good,0,1335000,2633,85000,6840,2024-05-28,34
1661,Al Jaddaf,Studio,1,497,52,Serviced Apartment,Furnished,Street View,Average,1,588000,1183,38000,9645,2023-07-12,37
1662,Al Barsha,Studio,1,629,29,High-Rise,Unfurnished,Pool View,Average,0,561000,892,37000,8461,2023-12-02,96
1663,Business Bay,2 BR,2,960,27,Mid-Rise,Unfurnished,Street View,Good,0,1606000,1673,129000,11939,2024-07-28,83
1664,Business Bay,1 BR,1,739,13,Villa Compound,Furnished,Park View,Average,1,1244000,1683,90000,13873,2023-05-30,105
1665,Deira,1 BR,1,638,41,Mid-Rise,Furnished,Garden View,Good,2,562000,881,34000,11484,2023-04-08,177
1666,Bur Dubai,3 BR,2,1936,51,Serviced Apartment,Unfurnished,City View,New,0,2080000,1074,143000,27636,2025-01-11,8
1667,Business Bay,5+ BR,5,3619,8,High-Rise,Furnished,Park View,Average,2,7043000,1946,573000,77850,2025-04-05,129
1668,Business Bay,4 BR,3,2204,51,High-Rise,Furnished,City View,New,1,5904000,2679,376000,50070,2023-12-12,113
1669,Downtown Dubai,3 BR,2,2039,10,High-Rise,Semi-Furnished,Street View,Good,0,4831000,2369,275000,26381,2022-03-11,146
1670,Palm Jumeirah,Studio,1,434,24,Low-Rise,Furnished,Canal View,Excellent,0,1846000,4253,142000,6463,2025-01-03,124
1671,DIFC,5+ BR,6,3226,47,High-Rise,Unfurnished,City View,Excellent,1,9721000,3013,687000,50284,2023-02-26,95
1672,Jumeirah Beach Residence (JBR),3 BR,2,1907,26,Serviced Apartment,Semi-Furnished,Canal View,New,1,6171000,3236,492000,39706,2025-05-10,51
1673,Dubai Hills Estate,Studio,1,442,57,Serviced Apartment,Unfurnished,Sea View,Excellent,0,919000,2079,72000,10503,2024-10-20,94
1674,Oud Metha,4 BR,4,2305,24,Serviced Apartment,Semi-Furnished,Canal View,Good,0,2826000,1226,206000,49840,2022-03-14,43
1675,Jumeirah Lakes Towers (JLT),1 BR,1,607,26,Mid-Rise,Unfurnished,Pool View,Excellent,1,844000,1390,72000,11498,2023-10-11,87
1676,Al Quoz,1 BR,1,805,19,Serviced Apartment,Semi-Furnished,Sea View,Average,1,682000,847,57000,15517,2024-01-07,96
1677,Arjan,1 BR,1,609,5,Mid-Rise,Furnished,City View,New,1,678000,1113,46000,10952,2024-06-08,15
1678,Jumeirah Village Circle (JVC),Studio,1,520,34,Villa Compound,Semi-Furnished,City View,New,0,729000,1402,46000,12805,2025-05-01,174
1679,Mirdif,1 BR,1,800,32,High-Rise,Furnished,Park View,Excellent,2,872000,1090,48000,16219,2022-06-11,170
1680,Dubailand,2 BR,2,1496,39,Villa Compound,Unfurnished,Garden View,New,0,1486000,993,123000,34741,2023-02-23,176
1681,Jumeirah Beach Residence (JBR),4 BR,4,2618,5,Serviced Apartment,Furnished,Street View,Excellent,0,6023000,2301,467000,32207,2024-05-07,90
1682,Al Barsha,4 BR,3,2931,43,Low-Rise,Unfurnished,Park View,Good,1,2951000,1007,175000,53647,2024-03-01,125
1683,Al Barsha,Studio,1,546,40,Villa Compound,Furnished,Sea View,Average,2,682000,1249,39000,11876,2023-05-11,6
1684,Business Bay,3 BR,2,1927,26,Villa Compound,Semi-Furnished,Garden View,Excellent,1,3892000,2020,255000,24295,2022-04-07,155
1685,Jumeirah Village Circle (JVC),2 BR,2,1409,29,High-Rise,Unfurnished,Street View,Average,0,1441000,1023,119000,27097,2022-05-11,50
1686,Al Quoz,Studio,1,540,59,Villa Compound,Unfurnished,Garden View,New,0,481000,891,32000,12231,2025-05-02,65
1687,Jumeirah Beach Residence (JBR),Studio,1,477,50,High-Rise,Semi-Furnished,Park View,Average,2,1019000,2136,71000,10152,2022-07-07,71
1688,Downtown Dubai,2 BR,2,985,4,Low-Rise,Semi-Furnished,Park View,Average,2,2184000,2217,175000,15448,2023-06-22,13
1689,Bur Dubai,1 BR,1,819,4,Low-Rise,Unfurnished,Pool View,New,0,692000,845,51000,11502,2023-12-13,167
1690,Jumeirah Beach Residence (JBR),1 BR,1,772,32,Villa Compound,Semi-Furnished,Pool View,Excellent,2,1864000,2415,157000,9590,2022-10-12,132
1691,Dubai Silicon Oasis,1 BR,1,713,46,High-Rise,Furnished,Street View,Average,1,707000,992,44000,16843,2024-01-12,133
1692,Al Nahda,4 BR,4,2720,17,Mid-Rise,Unfurnished,Sea View,Good,0,2432000,894,197000,45681,2024-06-29,139
1693,Jumeirah Lakes Towers (JLT),5+ BR,6,3012,60,Mid-Rise,Furnished,Burj Khalifa View,New,1,6058000,2011,367000,51452,2022-05-24,103
1694,DIFC,5+ BR,5,3406,19,Serviced Apartment,Furnished,City View,Excellent,0,10378000,3047,771000,77775,2022-02-19,66
1695,International City,3 BR,2,1719,45,Low-Rise,Unfurnished,Park View,Good,0,955000,556,70000,23092,2023-10-07,12
1696,Downtown Dubai,1 BR,1,700,41,Low-Rise,Unfurnished,Street View,Average,1,1538000,2197,93000,13724,2023-06-03,141
1697,Dubai Hills Estate,5+ BR,6,4361,47,Low-Rise,Furnished,Pool View,Average,1,8453000,1938,696000,90571,2025-04-05,54
1698,Oud Metha,2 BR,2,1091,6,Villa Compound,Semi-Furnished,Pool View,New,2,1223000,1121,85000,16871,2025-02-04,81
1699,Business Bay,3 BR,3,2198,30,Low-Rise,Furnished,Canal View,Excellent,1,5986000,2723,496000,41344,2022-06-06,116
1700,Palm Jumeirah,4 BR,3,2764,4,Villa Compound,Unfurnished,Garden View,Average,1,7254000,2624,552000,53231,2024-01-02,125
1701,Damac Hills,4 BR,3,2967,15,Serviced Apartment,Unfurnished,Canal View,Good,2,4343000,1464,272000,49095,2023-08-22,158
1702,Dubailand,Studio,1,352,22,Low-Rise,Semi-Furnished,Park View,Average,1,258000,733,21000,7826,2024-06-21,10
1703,Oud Metha,3 BR,2,2003,19,Mid-Rise,Semi-Furnished,City View,Good,1,2191000,1094,138000,29820,2024-02-23,24
1704,Downtown Dubai,Studio,1,626,45,Mid-Rise,Furnished,Pool View,New,0,2030000,3243,143000,12052,2025-01-08,169
1705,Dubai Silicon Oasis,2 BR,2,1414,22,Serviced Apartment,Furnished,Canal View,Average,1,1462000,1034,100000,18195,2022-03-18,177
1706,Jumeirah Lakes Towers (JLT),3 BR,2,1538,21,Serviced Apartment,Semi-Furnished,City View,Average,2,2186000,1421,162000,33082,2023-07-01,19
1707,Al Jaddaf,3 BR,3,1514,43,Serviced Apartment,Furnished,Street View,New,0,2337000,1544,196000,32708,2023-08-12,60
1708,Bur Dubai,1 BR,1,919,37,Serviced Apartment,Furnished,Park View,Good,1,774000,842,54000,21056,2023-01-25,47
1709,Arjan,Studio,1,547,26,Serviced Apartment,Furnished,Burj Khalifa View,Average,2,575000,1051,34000,8054,2022-06-26,123
1710,Deira,1 BR,1,730,15,High-Rise,Semi-Furnished,Garden View,Average,1,513000,703,29000,17271,2024-04-29,18
1711,Business Bay,4 BR,4,3294,15,Villa Compound,Semi-Furnished,Garden View,New,2,6625000,2011,373000,54371,2023-02-26,90
1712,Business Bay,2 BR,2,1097,47,Mid-Rise,Semi-Furnished,Street View,Excellent,2,2335000,2129,129000,27364,2023-11-01,73
1713,Dubai Hills Estate,5+ BR,4,5328,25,Serviced Apartment,Furnished,Burj Khalifa View,Good,1,12544000,2354,738000,72204,2023-05-02,171
1714,Mirdif,3 BR,3,1600,15,Low-Rise,Furnished,Street View,New,0,1735000,1084,133000,31412,2023-10-22,126
1715,Dubai Hills Estate,5+ BR,4,3933,9,High-Rise,Furnished,Park View,Excellent,0,7808000,1985,463000,72905,2025-04-03,117
1716,Remraam,5+ BR,5,5728,9,Serviced Apartment,Furnished,Street View,Average,0,4152000,725,245000,142466,2024-10-03,98
1717,Oud Metha,5+ BR,6,5568,59,Serviced Apartment,Unfurnished,Garden View,Excellent,1,6177000,1109,391000,136407,2024-05-17,152
1718,Arjan,Studio,1,539,29,Villa Compound,Furnished,City View,Average,1,553000,1026,42000,9495,2024-03-02,58
1719,Jumeirah Beach Residence (JBR),5+ BR,6,3703,52,Villa Compound,Semi-Furnished,Sea View,Good,2,9658000,2608,695000,70824,2022-04-02,44
1720,Al Nahda,3 BR,2,1505,57,Low-Rise,Furnished,City View,Good,0,1485000,987,106000,22158,2024-11-19,124
1721,Remraam,Studio,1,429,48,Serviced Apartment,Furnished,Garden View,Average,1,316000,737,26000,6645,2025-04-08,121
1722,Jumeirah Lakes Towers (JLT),Studio,1,637,4,Mid-Rise,Unfurnished,Canal View,Excellent,0,976000,1532,78000,9953,2024-06-24,177
1723,Dubailand,2 BR,2,1033,40,Villa Compound,Semi-Furnished,Garden View,Excellent,0,961000,930,61000,13638,2023-07-05,41
1724,Dubai Silicon Oasis,Studio,1,591,1,High-Rise,Semi-Furnished,Pool View,New,1,574000,971,45000,7573,2022-07-15,49
1725,Bur Dubai,1 BR,1,625,40,Mid-Rise,Furnished,Burj Khalifa View,Average,0,775000,1240,65000,8768,2025-01-19,115
1726,Jumeirah Village Circle (JVC),1 BR,1,807,20,Mid-Rise,Furnished,Pool View,Good,0,922000,1143,66000,10477,2022-08-10,125
1727,Al Nahda,2 BR,2,1052,33,Low-Rise,Semi-Furnished,Garden View,Good,2,908000,863,53000,19468,2024-08-23,175
1728,Bur Dubai,4 BR,3,2448,26,Mid-Rise,Furnished,Sea View,Excellent,2,2481000,1013,141000,46580,2022-06-30,57
1729,Damac Hills,1 BR,1,639,31,Villa Compound,Furnished,Burj Khalifa View,Average,2,1009000,1579,69000,10029,2023-11-26,52
1730,Al Quoz,4 BR,4,2607,39,Low-Rise,Furnished,Park View,New,2,2845000,1091,158000,55772,2022-06-09,101
1731,Palm Jumeirah,4 BR,4,3318,48,Villa Compound,Semi-Furnished,Sea View,Average,1,11924000,3594,706000,53373,2024-08-29,30
1732,Deira,Studio,1,464,13,High-Rise,Unfurnished,City View,New,1,428000,922,33000,10295,2024-02-27,25
1733,Al Barsha,1 BR,1,924,27,High-Rise,Unfurnished,Park View,New,0,1044000,1130,78000,17273,2024-07-16,82
1734,Oud Metha,4 BR,4,2533,38,Villa Compound,Semi-Furnished,Pool View,New,0,3122000,1233,192000,55814,2023-04-25,93
1735,Dubai South,1 BR,1,738,22,Villa Compound,Semi-Furnished,Burj Khalifa View,New,0,717000,972,55000,16641,2025-03-25,47
1736,Mirdif,1 BR,1,796,45,Low-Rise,Furnished,Street View,Good,2,887000,1114,55000,13771,2023-06-18,169
1737,Bur Dubai,4 BR,3,2373,36,Low-Rise,Unfurnished,City View,Excellent,0,2235000,942,188000,29077,2024-11-20,5
1738,Dubailand,3 BR,2,2113,52,Low-Rise,Semi-Furnished,Canal View,Good,2,2221000,1051,124000,45694,2024-07-26,127
